pmid,pmcid,Title,pmid_citing,pmcid_citing,title_citing,citation,Retraction_Watch,Retraction_Watch_hierarchy,Retraction_Watch_citing,Retraction_Watch_citing_hierarchy,Category_openai,Justification_openai,Category_gemini,Justification_gemini,alignment,bert
15599381,2409798,Id-1 stimulates cell proliferation through activation of EGFR in ovarian cancer cells,31292163,,ID1 Is Critical for Tumorigenesis and Regulates Chemoresistance in Glioblastoma,"A key receptor involved in the control of these pathways is the EGFR. It has been suggested that ID1 may promote cancer cell proliferation through upregulation of EGFR in ovarian cancer, prostate cancer, renal cancer, and bladder cancer (25–28). The mechanism by which ID1 might regulate EGFR has not been elucidated.","+Duplication of Image
+Concerns/Issues About Data","{'Other', 'Data'}",,,Other,"The provided sentences do not explicitly mention using data, results, methods, or aligning findings from <RA>. Instead, they discuss a general scientific background regarding EGFR and ID1, with no indication that <RA> is being directly referenced for data, results, or methodology.",Uses_Results,"The citing paper mentions that ""ID1 may promote cancer cell proliferation through upregulation of EGFR"" and cites the retracted article (25-28). This suggests the citing paper is referring to a finding or conclusion presented in the retracted article regarding the relationship between ID1 and EGFR.",FALSE,Other
17470638,2064817,LKB1 and AMPK Maintain Epithelial Cell Polarity Under Energetic Stress,21892142,3249400,"The AMPK signalling pathway coordinates cell growth, autophagy and metabolism","However, recent studies also support a role for AMPK in cell polarity. In Drosophila, loss of AMPK results in altered polarity118, 119 and in mammalian MDCK cells, AMPK was activated and needed for proper re-polarization and tight junction formation following calcium switch120, 121. Moreover, LKB1 was shown to localize to adherens junctions in MDCK cells and E-cadherin RNAi led to specific loss of this localization and AMPK activation at these sites30.","+Error in Results and/or Conclusions
+Error in Data
+Doing the Right Thing","{'Other', 'Data'}",,,Other,"The provided sentences do not explicitly mention using data, results, or methods from <RA>, nor do they indicate that the citing paper is demonstrating consistency with <RA>. Instead, the context discusses general supporting evidence for the role of AMPK and related proteins in cell polarity, citing multiple studies (including <RA>) to provide background or context. There is no direct indication that <RA> is being used for data, results, or methods, making the function best classified as Other.",Uses_Results,"The citing paper discusses findings related to AMPK and cell polarity, stating that ""loss of AMPK results in altered polarity"" and that ""AMPK was activated and needed for proper re-polarization and tight junction formation."" These are specific findings that the citing paper is referencing, aligning with the definition of Uses_Results.",FALSE,Other
16537533,2241734,Identification of T-cadherin as a novel target of DNA methyltransferase 3B and its role in the suppression of nerve growth factor-mediated neurite outgrowth in PC12 cells,18593903,2562630,Methylation Mediated Silencing of MicroRNA-1 Gene and Its Role in Hepatocellular Carcinogenesis,"Recent studies showed that differential regulation of some miRs such as miR-127, miR-124a, and let-7a3 by differential methylation of associated CGIs occur in human cancers (12–14). We have studied the efficacy of DNA methyltransferase inhibitors in a rat model of hepatocarcinogenesis and the molecular mechanisms of action of these drugs in vivo (15–23). This study showed that i.p. injection of 5-AzaC completely regressed growth of a transplanted tumor by demethylating and activating the antioxidant gene encoding metallothioneins (24) and a receptor-type tyrosine phosphatase PTPRO with tumor suppressor property (25, 26).","+Unreliable Image
+Concerns/Issues About Image",{'Other'},"+Objections by Author
+Misconduct by Author
+Misconduct - Official Investigation and/or Finding
+Investigation by Journal/Publisher
+Investigation by Company/Institution
+Euphemisms for Duplication
+Duplication of/in Image
",{'Other'},Other,"The provided context does not explicitly mention or imply the use of specific data, results, or methods from <RA>, nor does it state that the findings or framework of <RA> are being confirmed, extended, or used as a basis for comparison. The citation appears to be part of a general background or literature review, without clear indication of how <RA> is being utilized functionally.",Uses_Results,"The citing paper states that ""This study showed that i.p. injection of 5-AzaC completely regressed growth of a transplanted tumor by demethylating and activating the antioxidant gene encoding metallothioneins (24) and a receptor-type tyrosine phosphatase PTPRO with tumor suppressor property (25, 26)."" The numbers in parentheses (24, 25, 26) are likely citations to specific findings or results from other papers, and the phrasing ""This study showed"" indicates the presentation of findings that are being reported. Without knowing which of these citations refers to the retracted article, it's impossible to be definitive. However, the phrasing strongly suggests the reporting of results. If one of these citations (24, 25, or 26) were to <RA>, then the citing paper would be using the results of <RA>. Given the options, ""Uses_Results"" is the most fitting if <RA> is among those cited for its findings.",FALSE,Other
16151532,1199529,Human a1 type IV collagen NC1 domain exhibits distinct antiangiogenic activity mediated by a1B1 integrin,25415508,4316204,Remodelling the extracellular matrix in development and disease,"These include endostatin, tumstatin, canstatin, arresten and hexastatin, all of which are derived from collagen IV and XVIII (reviewed in REF. 112) and can bind to cell receptors such as integrins and EGFR113. For example, arresten, which is generated from the NC1 domain of the collagen a1(IV) chain, binds to α1β1 integrin and inhibits angiogenesis by antagonizing MAPK signalling114. Together, these studies demonstrate that the ECM also promotes non-cell autonomous mechanisms to enhance tumour growth (FIG. 4C).","+Misconduct by Author
+Misconduct - Official Investigation/Finding
+Investigation by ORI
+Investigation by Company/Institution
+Falsification/Fabrication of Data",{'Other'},,,Other,"The citation references a review (REF. 112) that discusses ECM components like arresten but does not specify using, building upon, or directly analyzing data, results, or methods from <RA>. The context focuses on summarizing background information rather than indicating a specific use of the retracted article's data, findings, or methodology.",Other,"The provided text discusses various molecules derived from collagen IV and XVIII and their roles in tumor growth. It references ""REF. 112"" for a review of these molecules. Without knowing if ""REF. 112"" is the retracted article <RA>, it's impossible to classify the citation's function. The text does not explicitly mention using data, results, or methods from a specific source that is identified as <RA>.",TRUE,Other
18500509,2493602,Inhaled Corticosteroids and Long-acting Beta-agonists in Adult Asthma: A Winning Combination in All?,18805336,,New targets for drug development in asthma,"Because of the rapid action of formoterol compared with salmeterol, it is possible to use the combination of formoterol and budesonide or formoterol and beclomethasone as both maintenance and reliever medication. An alternative approach to asthma control has been taken with the combination of salmeterol and fluticasone, which has been shown to achieve comprehensive asthma control in most patients.13 It must be emphasised that long-acting β2 agonists are not recommended as monotherapy maintenance treatment for asthma.",+Plagiarism of Text,{'Other'},,,Other,"The provided context does not explicitly mention using data, results, or methods from <RA>, nor does it state that the citing paper's findings are consistent with or directly build upon <RA>. Instead, it discusses alternative treatment approaches and general background information on asthma medications, which does not align with the specific functions outlined in the categories.",Other,"The citing paper discusses alternative approaches to asthma control and the use of different medication combinations. It mentions that the combination of salmeterol and fluticasone ""has been shown to achieve comprehensive asthma control in most patients,"" and this statement is followed by a citation (13). However, the provided text does not explicitly state that the citing paper is using data, results, methods, or showing consistency with the retracted article <RA>. The citation appears to be supporting a general statement about an alternative approach rather than a direct engagement with the content of <RA>.",TRUE,Other
17290307,1784001,High-mobility group A1 inhibits p53 by cytoplasmic relocalization of its proapoptotic activator HIPK2,19292913,2666642,"RAGE (Receptor for Advanced Glycation Endproducts), RAGE Ligands, and their role in Cancer and Inflammation","HMGB1 has also been detected in the cytosol, depending on the cell type, where it has a major positive role in regulating autophagy [63]. Although HMGA1 has a role in the export of HIPK2
(Homeodomain-interacting protein kinase 2, a proapoptotic activator of p53) from the nucleus to the cytoplasm [64], the HMG proteins other than HMGB1 are very seldom detected outside the nucleus. This is likely explains why HMGB1 is the only member of the family that activates RAGE [65].","+Manipulation of Images
+Investigation by Third Party
+Investigation by Company/Institution
+Duplication of Image
+Criminal Proceedings
+Concerns/Issues About Data","{'Other', 'Data'}",,,Other,"The provided context does not include any explicit mention of data, results, methods, or claims directly derived from <RA>. Instead, it discusses general biological roles and mechanisms of HMGB1 and related proteins without indicating that the citing paper is using, building upon, or referencing specific findings, data, or methodologies from <RA>.",Other,"The citation [65] refers to the retracted article in the context of explaining why HMGB1 is the only member of the HMG protein family that activates RAGE. This is a statement of fact or a proposed explanation, not a direct use of data, results, methods, or a statement of consistency with the retracted article's findings. The phrase ""This is likely explains why"" indicates the citing paper is using the retracted article as a source for a piece of information that supports its own explanation, rather than directly using its data, results, or methods.",TRUE,Other
18713984,2582200,Reprogrammed FoxP3+ T Regulatory Cells Become IL-17+ Antigen-Specific Autoimmune Effectors In Vitro and In Vivo,29925983,7882196,Regulatory T cells in autoimmune disease,"A small proportion of human peripheral Treg cells produce IL-17 in healthy people and upregulate the gene encoding the transcription factor RORγt (RORC) (TH17-like Treg cells) ex vivo105 while conserving their suppressive ability105,106. Given the well-established developmental relationship between Treg cells and TH17 cells, it remains to be determined whether TH17-like Treg cells are a transient stage in the de-differentiation of tTreg cells into TH17 cells, as has been suggested69,107. In support of that proposal, the conversion of Foxp3+ Treg cells into TH17 cells has a crucial role in the pathogenesis of autoimmune arthritis in a collagen-induced arthritis mouse model.","+Results Not Reproducible
+Misconduct by Author
+Misconduct - Official Investigation/Finding
+Investigation by Company/Institution
+Concerns/Issues About Data","{'Other', 'Data', 'Results'}",,,Other,"The provided citation context does not explicitly reference the retracted article <RA> in terms of data, results, or methods, nor does it indicate that <RA> is being used as a basis for comparison, analysis, or methodology. Instead, it discusses general concepts related to Treg and TH17 cell development and pathogenesis, without directly citing <RA> for specific information or findings.",Uses_Results,"The citing paper discusses the ""conversion of Foxp3+ Treg cells into TH17 cells"" and its ""crucial role in the pathogenesis of autoimmune arthritis in a collagen-induced arthritis mouse model."" This directly refers to and builds upon findings or conclusions that would have been presented in the retracted article, aligning with the definition of Uses_Results.",FALSE,Other
20388782,2978024,Gemcitabine Sensitivity Can Be Induced in Pancreatic Cancer Cells through Modulation of miR-200 and miR-21 Expression by Curcumin or Its Analogue CDF,23544170,,Down-regulation of miR-21 Induces Differentiation of Chemoresistant Colon Cancer Cells and Enhances Susceptibility to Therapeutic Regimens,"CDF, a newly developed analog of curcumin with a greater bioavailability than the parent compound, have been shown to exert a greater growth inhibitory property than curcumin [7] Recent studies also showed that CDF was much more superior in the killing of gemcitabine-resistant pancreatic cancer cells with epithelial-to-mesenchymal phenotype that is reminiscent of CSCs [29] We have reported that CDF in combination with FUOX causes growth inhibition in CR colon cancer cells in vitro, decreases the proportion of CSCs/CSLCs, and inhibits expression of miR-21 [7].","+Misconduct by Author
+Misconduct - Official Investigation/Finding
+Manipulation of Images
+Investigation by Company/Institution
+Falsification/Fabrication of Image",{'Other'},,,Other,"The citing paper references <RA> to support its statement about previous findings (""We have reported that CDF in combination with FUOX causes growth inhibition... and inhibits expression of miR-21 [7]""), but it does not explicitly state it is using data, results, or methods from <RA>, nor does it indicate a comparison or alignment with the broader claims of <RA>.",Uses_Results,"The citing paper states ""We have reported that CDF in combination with FUOX causes growth inhibition in CR colon cancer cells in vitro, decreases the proportion of CSCs/CSLCs, and inhibits expression of miR-21 [7]."" This indicates the citing paper is referring to its own previously reported results, which are now being presented in the context of the current study, implying a direct use and building upon those specific findings.",FALSE,Other
18060070,2093992,Infectious offspring: how birds acquire and transmit an avian polyomavirus in the wild,23544171,,The relationship between defecation and feeding in nestling birds: observational and experimental evidence,"The most often cited advantage of fecal sac disposal is to reduce the exposure of nestlings to parasites and pathogens ([1, 8], reviewed by [2]), as well as to reduce the risk of nestlings being detected by predators through the fecal odor of or any visual cues produced by feces ([9], but see [10]) Although parent birds also could benefit by consuming feces (the “parental-nutrition hypothesis”, [5]), fecal consumption may be costly to adults, through parasite or pathogen transmission [11], and the activity in removing fecal sacs could draw predators’ attention to the nest [12] Despite these costs, parental removal of fecal sacs is apparently universal among passerine birds, and common in most altricial species [13].","+Removed
+Results Not Reproducible
+Euphemisms for Misconduct
+Error in Results and/or Conclusions","{'Other', 'Results'}",,,Other,"The provided citation context does not explicitly mention data, results, or methods from <RA>, nor does it indicate that the citing paper is building upon, comparing, or aligning its findings with <RA>. Instead, it discusses general concepts related to fecal sac disposal and references reviews and prior studies (e.g., [2], [5], [11], [12], [13]) without indicating a direct use or re-analysis of <RA>. Therefore, the function of <RA> in this context is not clearly defined within the specified categories and is best classified as Other.",Other,"The provided text discusses the advantages and disadvantages of fecal sac disposal in birds. The citation [10] is presented in contrast to citation [9] (""but see [10]""). This suggests that the citing paper is referencing a dissenting or alternative viewpoint from <RA> rather than directly using its data, results, methods, or showing consistency with its findings. The context is insufficient to place it in the other categories.",TRUE,Other
15131698,424418,CITRX thioredoxin interacts with the tomato Cf-9 resistance protein and negatively regulates defence,23544172,,A Thioredoxin Domain-Containing Protein Interacts with Pepino mosaic virus Triple Gene Block Protein 1,"benthamiana When CITRX-z is silenced, ROS accumulation is enhanced, which then alters protein kinase activity and induces the expression defense-related genes, conferring resistance to Cladosporium fulvum [25] In cotton, GbNRX1 scavenges ROS in response to Verticillium dahliae infection [29], whereas cytosolic TRXs from N.","+Manipulation of Images
+Duplication of Image",{'Other'},,,Other,"The provided context discusses biological mechanisms and gene functions related to ROS and defense responses but does not explicitly mention using data, results, methods, or aligning with the broader claims of <RA>. There is no clear indication that <RA> is being directly referenced for data, findings, or methodology; instead, it appears to be part of a general discussion on related biological processes.",Uses_Results,"The citing paper presents findings about ROS accumulation and defense gene expression in benthamiana, and then contrasts this with findings from cotton regarding GbNRX1 scavenging ROS in response to Verticillium dahliae infection. This suggests the citing paper is comparing its own findings to those reported in the retracted article.",FALSE,Uses_Methods
20876109,2955108,Autophosphorylation of Tyr-610 in the receptor kinase BAK1 plays a role in brassinosteroid signaling and basal defense gene expression,23544173,,Mutations in FLS2 Ser-938 dissect signaling activation in FLS2-mediated Arabidopsis immunity,"Autophosphorylation of protein kinases plays an important role in signal transduction pathways for a wide range of plant processes including hormone responses, development, and responses to biotic and abiotic stresses [24]–[29] Although they resemble serine/threonine protein kinases, BRI1 and BAK1 were recently found to have both serine/threonine kinase and tyrosine kinase activities, which are critical for brassinosteroid signal transduction [28], [30]–[32] Among plant PRR kinases, rice Xa21 is known to autophosphorylate at Thr-705, in the juxtamembrane domain [33].",+Error in Materials,{'Methods'},,,Other,"The provided context does not explicitly mention using data, results, methods, or aligning findings from <RA>. Instead, it discusses general background information about autophosphorylation and kinase activities, with no specific reference to <RA>’s data, results, or methodology. Therefore, the citation’s function here does not clearly fit into the predefined categories and is best classified as Other.",Other,"The provided text discusses autophosphorylation of protein kinases and mentions specific examples like BRI1, BAK1, and rice Xa21. While it cites several articles ([24]-[29], [28], [30]-[32], [33]), there is no explicit mention of using data, results, or methods from any specific retracted article. The context appears to be providing background information or examples within a broader discussion of protein kinases. Without knowing which of the cited articles are retracted, and without more specific phrasing indicating a direct engagement with the content of a retracted article (e.g., ""using the data from [24]"", ""consistent with the findings of [25]""), it's not possible to classify the usage into the defined categories.",TRUE,Other
