pmid,pmcid,Title,pmid_citing,pmcid_citing,title_citing,citation,Retraction_Watch,Retraction_Watch_hierarchy,Retraction_Watch_citing,Retraction_Watch_citing_hierarchy,category_gpt,justification_gpt,reference_gpt,category_gemini,justification_gemini,reference_gemini,alignment
32103995,7024886,Long Noncoding RNA X-Inactive Specific Transcript Facilitates Cellular Functions in Melanoma via miR-139-5p/ROCK1 Pathway,33883934,8055356,Long Non-Coding RNA XIST Promotes Wilms Tumor Progression Through the miR-194-5p/YAP Axis,"Notably, XIST upregulation has been observed in some malignant tumors and was found to be associated with tumor cell growth, infiltration, and migration, higher TNM staging, and positive lymph node metastasis.18 XIST has been shown to function as a “molecular sponge” of miR-139-5p in melanoma,19 regulate the miR-133a/SOX4 axis in glioma20 and miR-497 in gastric cancer,11 and promote cell proliferation, invasion, and metastasis. In addition, XIST methylation status has been reported to modulate prostate cancer progression.","+Paper Mill
+Investigation by Third Party
+Duplication of Image
+Author Unresponsive",{'Other'},,,Uses_Results,"The citing paper explicitly discusses the expression levels of XIST, miR-194-5p, and YAP in Wilms tumor tissues and their correlations, indicating reliance on the specific results and conclusions of the retracted paper. It also references the functional effects of XIST on tumor cell proliferation, migration, and invasion, which are direct results from the retracted study. The focus on these specific molecular interactions and their impact on tumor progression shows that the citing paper builds upon the original findings rather than merely mentioning background or methods.","Citing Paper: ""XIST lncRNA levels were increased in blood and tissue samples of WT patients, and this upregulation was significantly correlated with TNM staging and shorter survival time.""  
Cited Paper: ""An increased level of XIST was revealed in melanoma tissues and cells, which was associated with higher TNM stage and positive lymph node metastasis.""",Uses_Results,"The citing paper explicitly states that the retracted paper found XIST to function as a ""molecular sponge"" of miR-139-5p in melanoma. This indicates a direct reliance on the findings of the retracted study to support its own investigation into XIST's role in Wilms tumor. The citing paper uses this established result from the retracted paper as a basis for its own mechanistic investigations.","Evidence from Citing Paper: ""XIST has been shown to function as a “molecular sponge” of miR-139-5p in melanoma,19 regulate the miR-133a/SOX4 axis in glioma20 and miR-497 in gastric cancer,11 and promote cell proliferation, invasion, and metastasis.""
 Evidence from Cited Paper: ""XIST Was Found to Function as a “Molecular Sponge” of miR-139-5p in Melanoma Cells""",TRUE
32149330,7146034,LncRNA XIST promotes the progression of laryngeal squamous cell carcinoma via sponging miR-125b-5p to modulate TRIB2,34817752,8770444,LINC01087 indicates a poor prognosis of glioma patients with preoperative MRI,"After 48 h, migrated cells were fixed with 4% paraformaldehyde, followed by staining with 0.1% crystal violet. Finally, the cells in 5 fields of view were counted under an inverted microscope (Liu et al. 2020). Invasion assay was conducted with the upper chamber pre-coated with 10 µL Matrigel (Corning, NY, USA).","+Unreliable Results
+Results Not Reproducible",{'Results'},,,Uses_Methods,"The citing paper references the original study's experimental techniques, such as transfection, luciferase assays, and cell proliferation tests, to support its own methodology. The quotes indicate that the citing paper explicitly adopts and builds upon the methods described in the retracted paper. This demonstrates reliance on the specific procedures from the retracted study rather than just its results or general background.","Citing Paper: ""Dual luciferase reporter assay was conducted by co-transfecting wild-type and mutant form of XIST (XIST-WT and XIST-Mut) with miR-NC or miR-125b-5p mimic into AMC-HN-8 and M4E cells, separately.""  
Cited Paper: ""The Dual-luciferase reporter assay was used to confirm the relationship among XIST, miR-125b-5p, and TRIB2.""",Parsing Failed,"Answer 1: Uses_Methods
Answer 2: The citing paper explicitly states that it used the same methodology as the retracted paper for the Transwell assay. This indicates a direct adoption and replication of the experimental protocol described in the retracted work. The citing paper credits the retracted paper for this specific method.
Answer 3:
[Evidence from Citing Paper: ""Transwell assay Cells were placed in serum-free DMEM for 12 h. The Transwell chamber was put in 24-well plates. The lower chamber was covered with 20% FBS-DMEM (500 µL), and mean while cells (1×105, 100 µL) were placed in each well of the upper chamber (containing serum-free DMEM). After 48 h, migrated cells were fixed with 4% paraformaldehyde, followed by staining with 0.1% crystal violet. Finally, the cells in 5 fields of view were counted under an inverted microscope (Liu et al. 2020).""]
[Evidence from Cited Paper: ""Transwell assay Transfected cells were incubated with serum-free DMEM for 12 h until Transwell assay. Matrigel (Corning Life Sciences, Corning, NY, U.S.A.) was stored at 4◦C overnight for preparation. The Transwell chambers were placed into each well of 24 well-plate, respectively. DMEM (500 μl; containing 20% FBS) was added into each lower chamber; mean while, transfected cells, at the concentration of 1 × 105 cells/100 μl/well (using serum-free DMEM), were seeded into the upper chambers for migration test or into the upper chamber already coated with 10 μl Matrigel for invasion test. After 48-h conventional incubation, Transwell chambers were taken out and the inner cells were lightly wiped off and then put into a new 24 well-plate with 4% paraformaldehyde (600 μl). Until fixed for 5 min, cells were stained with 0.1% Crystal Violet for 10 min. Finally, cells were calculated in five random fields under an inverted microscope.""]",,FALSE
32158261,6986931,Long Noncoding RNA ZFPM2-AS1 Enhances the Malignancy of Cervical Cancer by Functioning as a Molecular Sponge of microRNA-511-3p and Consequently Increasing FGFR2 Expression,33173620,7594634,"ZFPM2-AS1 promotes the proliferation, migration, and invasion of human non-small cell lung cancer cells involving the JAK-STAT and AKT pathways","ZFPM2-AS1 has also been shown to promote metastasis and proliferation, as well as inhibit renal cell cancer apoptosis by targeting miR-137 (Liu et al., 2019). Additionally, ZFPM2-AS1 can promote NSCLC progression via the miR-511-3p/AFF4 and miR-18b-5p/VMA21 pathways (Li et al., 2020; Xue et al., 2020), and enhance the malignancy of cervical cancer by sponging microRNA-511-3p (Dai et al., 2020). By upregulating TRAF4, ZFPM2-AS1 facilitates cell proliferation in both esophageal squamous cell carcinoma and small cell lung cancer (Sun & Wu, 2020; Yan et al., 2020).","+Manipulation of Images
+Concerns/Issues About Results
+Concerns/Issues About Data","{'Other', 'Data', 'Results'}",,,Uses_Results,"The citing paper discusses the role of ZFPM2-AS1 in promoting proliferation, migration, and invasion in NSCLC cells, which directly builds upon the results of the retracted paper that showed ZFPM2-AS1 promotes malignancy in cervical cancer. It explicitly states that ZFPM2-AS1 ""positively regulated ZFPM2 expression"" and ""promoted the proliferation, migration, and invasion of NSCLC cells involving the JAK-STAT and AKT pathways,"" indicating reliance on the specific findings about ZFPM2-AS1's effects. This demonstrates that the citing paper treats the results of the retracted study as established facts to support its own conclusions about ZFPM2-AS1's oncogenic role in lung cancer.","Citing Paper: ""We found that ZFPM2-AS1 expression in NSCLC specimens and cell lines was elevated compared to the control group. ZFPM2-AS1 is an oncogene and independent prognostic predictor of poor survival in NSCLCs, and its expression had a positive correlation with tumor size and lymph node metastasis in our clinical data.""  
Cited Paper: ""ZFPM2-AS1 promotes cervical cancer progression through upregulation of miR-511-3p–FGFR2 axis output, thereby pointing to possible diagnostics and therapeutics based on the ZFPM2-AS1–miR-511-3p–FGFR2 pathway.""",Uses_Results,The citing paper directly references the retracted paper's findings regarding ZFPM2-AS1's role in cervical cancer. It explicitly states that the retracted paper showed ZFPM2-AS1 enhances cervical cancer malignancy by sponging miR-511-3p and increasing FGFR2 expression. This indicates a direct reliance on the retracted paper's conclusions to support its own discussion of ZFPM2-AS1's functions.,"Evidence from Citing Paper: ""ZFPM2-AS1 has also been shown to promote metastasis and proliferation, as well as inhibit renal cell cancer apoptosis by targeting miR-137 (Liu et al., 2019). Additionally, ZFPM2-AS1 can promote NSCLC progression via the miR-511-3p/AFF4 and miR-18b-5p/VMA21 pathways (Li et al., 2020; Xue et al., 2020), and enhance the malignancy of cervical cancer by sponging microRNA-511-3p (Dai et al., 2020).""
Evidence from Cited Paper: ""Conclusion: ZFPM2-AS1 promotes cervical cancer progression through upregulation of miR-511-3p–FGFR2 axis output, thereby pointing to possible diagnostics and therapeutics based on the ZFPM2-AS1–miR-511-3p–FGFR2 pathway.""",TRUE
31930114,6942763,miR-509-5p Inhibits the Proliferation and Invasion of Osteosarcoma by Targeting TRIB2,35244512,9103279,Human pulmonary artery smooth muscle cell dysfunction is regulated by miR-509-5p in hypoxic environment,"Overexpression of miR-140-5p blocks the proliferation and migration of PASMCs through inhibiting tumor necrosis factor-α [6]. MiR-509-5p has been linked to many human diseases, especially cancers [7–10]. For instance, miR-509-5p exerts a tumor-suppressive effect by down-regulating the expression of TRIB2 in osteosarcoma [7]. MiR-509-5p is also remarkably down-regulated in pancreatic cancer tissues and cell lines, while augmented expression of miR-509-5p represses the proliferation, migration and invasion of pancreatic cancer cells by targeting MDM2 [8], and importantly MDM2-mediated ubiquitination of angiotensin-converting enzyme 2 contributes to the development of PAH [11]. MiR-509-5p is recently demonstrated to exhibit crucial regulatory functions in several types of tumors, and its specific role in different tumors is heterogeneous. For instance, in osteosarcoma and pancreatic cancer, miR-509-5p is capable of suppressing proliferation and migration of cancer cells, exerting a tumor-suppressive role [7,8], whereas in papillary thyroid cancer, miR-509-5p is capable of targetedly down-regulating SFRP1 to potentiate proliferation and invasion of papillary thyroid cancer cells, exhibiting a cancer-promoting role [20]. In the present study, we explored the expression characteristics and biological function of miR-509-5p in PAH. The expression of circulating miR-509-5p was demonstrated to be aberrantly lowly expressed in the serum of PAH patients, and it was also underexpressed in hypoxia-treated PASMCs. Furthermore, it was revealed that miR-509-5p repressed the proliferation and migration of PASMCs and facilitated their apoptosis, consistent with its inhibitory effects on cell proliferation and migration in osteosarcoma and pancreatic cancer [7,8]. In light of the aforesaid findings, it is indicated that miR-509-5p possesses the potential as a diagnostic biomarker or therapeutic target for PAH.","+Unreliable Data
+Error in Image
+Duplication of Image","{'Data', 'Other'}",,,Other,"The citing paper mentions the retracted paper primarily as background information about miR-509-5p and its general role in cancer, without directly using its data, results, or methods. It does not build upon or replicate the specific findings, nor does it claim its results are consistent with the retracted study. Instead, it references the retracted paper to contextualize miR-509-5p's importance, which aligns with a peripheral mention.","Citing Paper: ""MiR-509-5p has been linked to many human diseases, especially cancers [7–10].""  
Cited Paper: ""In this study, our result of real-time PCR (RT-PCR) showed that the expression of miR-509-5p was significantly decreased in OS tissues and cell lines.""",Uses_Results,The citing paper explicitly mentions the retracted paper as a source for the finding that miR-509-5p inhibits proliferation and invasion in osteosarcoma by targeting TRIB2. This indicates a direct reliance on the retracted paper's specific conclusions regarding the biological function of miR-509-5p and its target TRIB2. The citing paper then applies this established finding to its own research context.,"Evidence from Citing Paper: ""For instance, in osteosarcoma and pancreatic cancer, miR-509-5p is capable of suppressing proliferation and migration of cancer cells, exerting a tumor-suppressive role [7].""
Evidence from Cited Paper: ""In summary, miR-509-5p functions as a tumor suppressor gene in OS through miR-509-5p/TRIB2 axis, making miR-509-5p a potential diagnostic and/or therapeutic target for OS."" ""In conclusion, these data revealed that miR-509-5p could act as a tumor suppressor and inhibit the proliferation and invasion of OS cells.""",FALSE
32082174,7005577,Long noncoding RNA FOXD2-AS1 promotes the malignancy of cervical cancer by sponging microRNA-760 and upregulating hepatoma-derived growth factor,32753970,7354912,LINC01535 Promotes the Development of Osteosarcoma Through Modulating miR-214-3p/KCNC4 Axis,"Long noncoding RNAs (lncRNAs) are a class of RNA transcripts with a length of over 200 nucleotides and without ability of protein coding.3–6 Increasing evidence showed that lncRNA was abnormally expressed in many human tumors.7,8 Recently, certain lncRNAs have been reported to play a regulatory role in the proliferation, apoptosis, migration and invasion of various tumor cells.","+Unreliable Results
+Paper Mill
+Original Data not Provided
+Investigation by Third Party
+Duplication of Image
+Concerns/Issues About Data","{'Other', 'Data', 'Results'}",,,Uses_Data,"The citing paper explicitly investigates the molecular mechanisms involving LINC01535, miR-214-3p, and KCNC4, which are directly studied and characterized in the retracted paper. It references specific experimental results, such as the interaction between LINC01535 and miR-214-3p, and the regulation of KCNC4, indicating reliance on the original data and findings. This demonstrates that the citing paper uses the core data and mechanistic results from the retracted study to support its conclusions.","Citing Paper: ""The luciferase reporter assay was conducted with the purpose of conﬁrming the interaction between LINC01535 and miR-214-3p in Saos2 and U2OS cells.""  
Cited Paper: ""Luciferase activities were determined at 48 h after cell transfection by means of a Dual-Luciferase Reporter System (Promega Corp.). The relative luciferase activity was normalized to Renilla luciferase activity.""",Uses_Methods,"The citing paper explicitly states that it investigated the function of LINC01535 in osteosarcoma, and in its background section, it mentions that LINC01535 has been studied in cervical cancer. The citing paper then proceeds to use similar experimental methods (qRT-PCR, colony formation assay, EdU assay, CCK-8 assay, flow cytometry, wound healing assay, transwell assay, luciferase reporter assay, RNA pull-down assay, RIP assay) as described in the retracted paper for its own study on LINC01535 in osteosarcoma. This indicates a direct adoption and replication of the methodology.","[Evidence from Citing Paper: ""Previously, LINC01535 functioned as a ceRNA in cervical cancer and accelerated occurrence and development.21 However, the function and molecular mechanism of LINC01535 in OS have not been studied. In this study, we confirmed that expression of LINC01535 presented a significant up-regulation in OS tissues and cells and promoted the development of OS. In addition, LINC01535 sponged miR-214-3p to up-regulate KCNC4. This finding might provide a theoretic basis for exploring treatment in OS.""] 
 [Evidence from Cited Paper: ""This study was aimed at assessing FOXD2-AS1 expression in cervical cancer and at determining its effects on the aggressive behavior of cervical cancer in vitro and in vivo. Expression of FOXD2-AS1 in cervical cancer tissues and cell lines was determined via reverse-transcription quantitative PCR. The effects of FOXD2-AS1 on cervical cancer cells were examined by a 3-(4,5-dimethyl-2-thiazolyl)-2,5-diphenyl-2-H-tetrazolium bromide (MTT) assay, flow-cytometric analysis, migration and invasion assays, and an in vivo tumorigenicity assay.""]",FALSE
32158226,6986254,Hsa_circ_RNA_0011780 Represses the Proliferation and Metastasis of Non-Small Cell Lung Cancer by Decreasing FBXW7 via Targeting miR-544a,32922073,7455537,"Circ_0000376, a Novel circRNA, Promotes the Progression of Non-Small Cell Lung Cancer Through Regulating the miR-1182/NOVA2 Network","CircRNA is considered to be an important regulator of cancer progression and mainly plays anti-cancer or pro-cancer role.11,12 At present, many circRNAs are found in NSCLC, and their functions are illuminated. For instance, hsa_circ_0011780 has been proved to be an anti-cancer circRNA of NSCLC, which can inhibit the proliferation and metastasis of NSCLC cells.13 CircCCDC66 is confirmed to play a pro-cancer role in NSCLC to accelerate cell growth and metastasis.","+Original Data not Provided
+Investigation by Third Party
+Falsification/Fabrication of Data
+Duplication of Image","{'Data', 'Other'}",,,Uses_Data,"The citing paper explicitly investigates the expression levels of circ_0000376, miR-1182, and NOVA2 in NSCLC tissues and cells, and conducts experiments to assess their functional roles, indicating direct use of the specific data and molecular interactions originally presented in the retracted paper. The original retracted study also measured expression levels, performed luciferase assays, and animal experiments to analyze the circRNA-miRNA-mRNA axis, which the citing paper replicates and builds upon. This demonstrates reliance on the original data and experimental results, rather than merely referencing background concepts or methods.","Citing Paper: ""The results revealed that miR-1182 mimic markedly repressed the luciferase activity of circ_0000376 WT reporter, while no effect on the luciferase activity of circ_0000376 MUT reporter in H522 and H1975 cells.""  
Cited Paper: ""The bioinformatics prediction and luciferase reporter assay confirmed that hsa_circ_11780 directly targeted miR-544a.""",Uses_Results,"The citing paper references the retracted paper to support its own findings regarding the role of hsa_circ_11780 in NSCLC. Specifically, it cites the retracted paper for demonstrating that hsa_circ_11780 acts as an anti-cancer circRNA in NSCLC, inhibiting proliferation and metastasis. This indicates a reliance on the retracted paper's conclusions to frame the context of the citing paper's research.","[Evidence from Citing Paper: ""For instance, hsa_circ_0011780 has been proved to be an anti-cancer circRNA of NSCLC, which can inhibit the proliferation and metastasis of NSCLC cells.13""] 
 [Evidence from Cited Paper: ""We revealed that decreased has_circ_11780 in cancerous tissue, was significantly involved in the proliferation and growth of NSCLC cells both in vitro and in vivo (Figures 2 and 3). In addition, we found that lower hsa_circ_11780 expression was a signiﬁcant indicator for metastasis and poor prognosis of NSCLC (Table 1 & Figure 1). Next, we performed a migration and invasion assay in tumor cells and veriﬁed the suppressive effect of hsa_circ_11780 (Figure 2). Collectively, our results revealed that hsa_circ_11780 is a promising suppressor for distant metastasis and an indicator of poor survival in patients with NSCLC.""]",FALSE
31982772,6992896,Long Noncoding RNA UCA1 Regulates PRL-3 Expression by Sponging MicroRNA-495 to Promote the Progression of Gastric Cancer,33708986,7944284,Long non-coding RNA signatures as predictors of prognosis in thyroid cancer: a narrative review,"UCA1 acts as an oncogene in tumorigenesis, and stimulates invasion in tumor progression. Many studies have revealed that UCA1 elevates tumorigenesis mainly through binding to miRNAs, activating several vital signaling pathways and altering epigenetic and transcriptional regulation (78,79). In TC, the expression of UCA1 is significantly upregulated in PTC tissue compared with normal tissue (80).","+Objections by Third Party
+Manipulation of Images
+Duplication of Image",{'Other'},,,Uses_Results,"The citing paper explicitly references the findings of the retracted article regarding UCA1's role in promoting cell proliferation, invasion, and metastasis in thyroid cancer. It discusses how UCA1 ""promotes cell proliferation and invasion, and suppresses apoptosis"" and ""acts as an oncogene in tumorigenesis,"" directly building upon the results of the retracted study. The citing paper treats these findings as established evidence to support its discussion of UCA1's role in cancer progression.","Citing Paper: ""UCA1 expression is upregulated in PTC tissues and cells, and has been observed to be positively correlated with tumor size, tumor stage, and metastasis of PTC (31).""  
Cited Paper: ""UCA1, a 1.4-kb long transcription lncRNA, was first found in bladder cancer and is highly expressed in various carcinomas (76,77). UCA1 expression is upregulated in PTC tissues and cells, and has been observed to be positively correlated with tumor size, tumor stage, and metastasis of PTC (31).""",Other,"The citing paper mentions the retracted paper as one of many studies investigating UCA1 in various cancers, including gastric cancer. It does not use the specific data, results, or methods from the retracted paper, nor does it show consistency with its findings. The mention is a general reference within a broader review of lncRNAs in thyroid cancer.","Evidence from Citing Paper: ""Urothelial carcinoma associated 1 (UCA1) ... UCA1 expression is upregulated in PTC tissues and cells, and has been observed to be positively correlated with tumor size, tumor stage, and metastasis of PTC (31). UCA1 overexpression promotes cell proliferation and invasion, and suppresses apoptosis in TC cells via the Wnt pathway. UCA1 acts as an oncogene in tumorigenesis, and stimulates invasion in tumor progression. Many studies have revealed that UCA1 elevates tumorigenesis mainly through binding to miRNAs, activating several vital signaling pathways and altering epigenetic and transcriptional regulation (78,79). In TC, the expression of UCA1 is significantly upregulated in PTC tissue compared with normal tissue (80). Through loss-of-function analysis, UCA1 knockdown was found to significantly inhibit PTC cell viability and promote the expression of BRD4. UCA1 was also found to promote the progression of PTC through sponging miRNA-204 and enhancing BRD4 expression. Li et al. found that the UCA1/miR-15a axis is involved in mediating EMT in PTC (29). In ATC, UCA1 promotes cancer progression through miR‑135a‑mediated c‑MYC activation (81). Another study revealed that UCA1 knockdown inhibits cell proliferation and invasion by modulating the miR-204/IGFBP5 axis in PTC (82). These studies demonstrate that UCA1 plays a vital role in the progression of TC, and may be a potential target for TC treatment.""
Evidence from Cited Paper: ""The present study aims to investigate the underlying molecular mechanism by which lncRNA urothelial carcinoma-associated 1 (UCA1) influences the progression of GC. Differentially expressed lncRNA UCA1 was initially identified by microarray-based analysis, after which a high expression of UCA1 was determined in GC tissues and cells. It is important to note that UCA1 could upregulate the expression of phosphatase of regenerating liver-3 (PRL-3) by sponging miR-495. The expression of UCA1 and miR-495 was altered in human GC cells to evaluate cell activity in vitro, as well as peritoneal metastasis and tumor formation ability in vivo. Results suggested that increased expression of UCA1 promoted cell proliferation, migration, and invasion, accompanied by suppressed cell apoptosis, as well as enhanced peritoneal metastasis and tumorigenesis of GC cells. Meanwhile, the upregulated expression of miR-495 could reverse the promotive effects exerted by UCA1. Taken conjointly, UCA1, as a competing endogenous RNA (ceRNA) of miR-495, could accelerate the development of GC by upregulating PRL-3, highlighting a potentially promising basis for the targeted intervention treatment of GC.""",FALSE
32027356,7029154,Fingolimod inhibits proliferation and epithelial- mesenchymal transition in sacral chordoma by inactivating IL-6/STAT3 signaling,34560882,8461898,CMTM3 suppresses chordoma progress through EGFR/STAT3 regulated EMT and TP53 signaling pathway,"The cells were cultured in serum-free medium overnight before the initiation of the experiments. For migration assay, 1 × 105 cells in 0.25 mL of serum-free medium were seeded into the upper chamber [38] and 0.5 mL of medium with 10% FBS was added to the lower chamber and incubated at 37 °C for 24 h. For the invasion assay, 70 μL of 1:10-chilled serum-free medium-diluted Matrigel (Catalog No. 354234, BD Biosciences, NJ, USA) was precoated in the upper chamber and incubated in a humidified incubator at 37 °C for 60 min. Next, 2 × 105 cells [39] in 0.25 mL of serum-free medium were seeded into the upper chamber with Matrigel and 0.5 of mL medium with 10% FBS was added to the lower chamber.","+Updated to Retraction
+Concerns/Issues About Results
+Upgrade/Update of Prior Notice
+Objections by Third Party
+Duplication of Image","{'Other', 'Results'}",,,Uses_Results,"The citing paper explicitly discusses the role of CMTM3 in suppressing tumor progression and details its effects on pathways such as EGFR/STAT3 and TP53, which are directly related to the main findings of the retracted paper. The original paper's results about fingolimod inhibiting proliferation, invasion, EMT, and IL-6/STAT3 signaling are built upon or referenced as a foundation for understanding similar mechanisms in chordoma. The citing paper treats these findings as established facts to support its own conclusions about CMTM3's tumor-suppressive role, thus relying on the specific results of the retracted study.","Citing Paper: ""Our previous study shows that phosphorylated EGFR plays important roles in chordomas progress [10].""  
Cited Paper: ""The mechanism was related to the EMT and apoptosis of chordoma cells and inactivation of IL-6/STAT3 signalling in vitro and in vivo.""",Uses_Methods,"The citing paper explicitly states that it used the same cell lines (U-CH1 and MUG-Chor1) and performed similar assays (CCK-8, colony forming unit assay, wound healing, and Transwell assays) as described in the retracted paper. This indicates a direct adoption and replication of the methodologies employed in the retracted study.","Evidence from Citing Paper: ""Human chordoma U-CH1, MUG-Chor1 and JHC7 cell lines were purchased from American Type Culture Collection (ATCC, Manassas, VA, USA). U-CH1 and MUG-Chor1 cells were cultured in RPMI-1640 medium (Catalog No. 11875093, Gibco, US) supplemented with an additional 1% l-glutamine (Catalog No. 25030081, Gibco, US), 10% characterized fetal bovine serum (FBS) (Catalog No. 10099141, Gibco, US), 10 units/mL penicillin and 10 mg/mL streptomycin (Catalog No. 10378016, Gibco, US). [...] CCK-8 assay [...] Colony forming unit (CFU) assay [...] Wound-healing assay [...] Cell migration and invasion assay""
Evidence from Cited Paper: ""The human sacrum chordoma cell lines MUG-Chor1 and U-CH1 were bought from iCell Bioscience Inc. (Shanghai, China) and maintained in Dulbecco’s modified Eagle’s medium (HyClone, Logan, UT, U.S.A.) with 10% foetal bovine serum (Gibco, Gaithersburg, MD, U.S.A.). [...] Cell viability assay [...] Colony formation assay [...] Wound healing assay [...] Transwell invasion assay""",FALSE
32020881,7001272,Exosome-mediated lncRNA AFAP1-AS1 promotes trastuzumab resistance through binding with AUF1 and activating ERBB2 translation,33799834,7998932,The Role of Autophagy and lncRNAs in the Maintenance of Cancer Stem Cells,"Since lncRNAs can promote the expression of proteins associated with the CSC phenotype, their detection could aid in the identification of CSCs in patient-derived tumours by simple non-invasive diagnostic tests. In evidence, several studies have found lncRNAs secreted in tumour-associated exosomes secreted into the peripheral circulation [171,174,175]. In this regard, a recent study showed that in hepatocellular carcinoma, H19 was upregulated in CD90+ CSC-like cells and was released in exosomes [172].","+Unreliable Results
+Plagiarism of Article
+Duplication of Image
+Concerns/Issues About Data","{'Other', 'Data', 'Results'}",,,Uses_Data,"The citing paper explicitly discusses the existence of AFAP1-AS1 in exosomes and its role in conferring trastuzumab resistance, which directly involves the specific data about AFAP1-AS1 expression, packaging into exosomes, and its mechanistic interaction with AUF1 and HER-2. The text references experimental verification of AFAP1-AS1 levels in resistant cells and serum, as well as its packaging into exosomes, indicating reliance on the original data. This demonstrates that the citing paper is utilizing the specific data generated in the retracted paper to support its conclusions.","Citing Paper: ""Treatment with exosomes derived from SKBR-3-TR cells increased AFAP1-AS1 level, however this effect was abrogated when SKBR-3-TR cells were silenced with AFAP1-AS1, *P < 0.05.""  
Cited Paper: ""Extracellular AFAP1-AS1 secreted from trastuzumab resistant cells was packaged into exosomes and then disseminated trastuzumab resistance of receipt cells.""",Uses_Results,"The citing paper directly states the findings of the retracted paper as established facts, particularly regarding the role of AFAP1-AS1 in promoting trastuzumab resistance through AUF1 and ERBB2 translation. It presents these findings as the basis for its own research. The citing paper's abstract and conclusion mirror the core results presented in the retracted paper.","Evidence from Citing Paper: ""Mechanically, AFAP1-AS1 was associated with AUF1 protein, which further promoted the translation of ERBB2 without influencing the mRNA level.""
Evidence from Cited Paper: ""Mechanically, AFAP1-AS1 was associated with AUF1 protein, which further promoted the translation of ERBB2 without influencing the mRNA level.""",FALSE
32099402,6999788,Meg3 Induces EMT and Invasion of Glioma Cells via Autophagy,33425489,7779543,CircMEG3 inhibits telomerase activity by reducing Cbf5 in human liver cancer stem cells,"A MEG3 acts as an antitumor component in different cancer cells, such as breast and liver cancer cells.39 MEG3 activated by vitamin D suppresses glycolysis in cancer,40 and MEG3 induces invasion of glioma cells via autophagy.41 Moreover, MEG3 promotes differentiation of porcine satellite cells by sponging miR-423-5p42 and is involved in pituitary tumor invasiveness.","+Unreliable Results
+Paper Mill
+Original Data not Provided
+Duplication of Image
+Concerns/Issues About Data","{'Other', 'Data', 'Results'}",,,Uses_Results,"The citing paper explicitly discusses how CircMEG3 inhibits telomerase activity and the expression of Cbf5, a telomerase component, which are specific results from the retracted paper. It also mentions that increased Cbf5 abrogates CircMEG3's inhibitory effects, indicating reliance on the original findings about Cbf5's role in telomerase activity. This demonstrates that the citing paper builds upon and directly uses the specific results related to Cbf5 and telomerase activity from the retracted study.","Citing Paper: ""CircMEG3 inhibits the expression of m6A methyltransferase METTL3 dependent on HULC. Moreover, CircMEG3 inhibits the expression of Cbf5, a component of telomere synthetase H/ACA ribonucleoprotein (RNP; catalyst RNA pseudouracil modification) through METTL3 dependent on HULC.""  
Cited Paper: ""CircMEG3 inhibits telomerase activity and shortens telomere lifespan dependent on HULC and Cbf5 in human liver cancer stem cell.""",Uses_Results,The citing paper directly references the findings of the retracted paper regarding the role of MEG3 in inducing EMT and invasion in glioma cells. It explicitly states that its own findings are consistent with the retracted paper's conclusions on this matter. This indicates a reliance on the retracted paper's reported results to support its own discussion.,"Citing Paper: ""Moreover, MEG3 induces invasion of glioma cells via autophagy.41""
Cited Paper: ""All data suggest that Meg3 induces EMT and invasion of glioma cells via autophagy. Overall, the ﬁndings of the present study demonstrate the importance of Meg3 in the molecular etiology of glioma, which also indicate its potential applications in the treatment of glioma.""",TRUE
